,path,label
0,/content/drive/MyDrive/Bosch/imgs/00038/00044_00021.ppm,38
1,/content/drive/MyDrive/Bosch/imgs/00038/00044_00026.ppm,38
2,/content/drive/MyDrive/Bosch/imgs/00038/00024_00009.ppm,38
3,/content/drive/MyDrive/Bosch/imgs/00038/00025_00013.ppm,38
4,/content/drive/MyDrive/Bosch/imgs/00038/00042_00029.ppm,38
5,/content/drive/MyDrive/Bosch/imgs/00038/00006_00024.ppm,38
6,/content/drive/MyDrive/Bosch/imgs/00038/00061_00016.ppm,38
7,/content/drive/MyDrive/Bosch/imgs/00038/00068_00014.ppm,38
8,/content/drive/MyDrive/Bosch/imgs/00038/00004_00013.ppm,38
9,/content/drive/MyDrive/Bosch/imgs/00038/00062_00026.ppm,38
10,/content/drive/MyDrive/Bosch/imgs/00038/00008_00003.ppm,38
11,/content/drive/MyDrive/Bosch/imgs/00038/00060_00000.ppm,38
12,/content/drive/MyDrive/Bosch/imgs/00038/00045_00005.ppm,38
13,/content/drive/MyDrive/Bosch/imgs/00038/00058_00019.ppm,38
14,/content/drive/MyDrive/Bosch/imgs/00038/00023_00008.ppm,38
15,/content/drive/MyDrive/Bosch/imgs/00038/00040_00005.ppm,38
16,/content/drive/MyDrive/Bosch/imgs/00038/00029_00021.ppm,38
17,/content/drive/MyDrive/Bosch/imgs/00038/00048_00014.ppm,38
18,/content/drive/MyDrive/Bosch/imgs/00038/00015_00015.ppm,38
19,/content/drive/MyDrive/Bosch/imgs/00038/00002_00023.ppm,38
20,/content/drive/MyDrive/Bosch/imgs/00038/00057_00013.ppm,38
21,/content/drive/MyDrive/Bosch/imgs/00038/00063_00029.ppm,38
22,/content/drive/MyDrive/Bosch/imgs/00038/00046_00023.ppm,38
23,/content/drive/MyDrive/Bosch/imgs/00038/00019_00015.ppm,38
24,/content/drive/MyDrive/Bosch/imgs/00038/00057_00022.ppm,38
25,/content/drive/MyDrive/Bosch/imgs/00038/00013_00026.ppm,38
26,/content/drive/MyDrive/Bosch/imgs/00038/00030_00005.ppm,38
27,/content/drive/MyDrive/Bosch/imgs/00038/00045_00010.ppm,38
28,/content/drive/MyDrive/Bosch/imgs/00038/00059_00003.ppm,38
